"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","DOI","Link","Abstract","Author Keywords","Index Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source"
"Mensfelt A.; Stathis K.; Trencsenyi V.","Mensfelt, Agnieszka (57021730700); Stathis, Kostas (6603084945); Trencsenyi, Vince (59328511400)","57021730700; 6603084945; 59328511400","Towards Logically Sound Natural Language Reasoning with Logic-Enhanced Language Model Agents","2025","Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","","","","838","842","10.1109/ICTAI66417.2025.00122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031894963&doi=10.1109%2FICTAI66417.2025.00122&partnerID=40&md5=1217cf87534ea4de15d8e5f7db7434a7","Large language models (LLMs) are increasingly explored as general-purpose reasoners, particularly in agentic contexts. However, their outputs remain prone to mathematical and logical errors. This is especially challenging in open-ended tasks, where unstructured outputs lack explicit ground truth and may contain subtle inconsistencies. To address this issue, we propose Logic-Enhanced Language Model Agents (LELMA), a framework that integrates LLMs with formal logic to enable validation and refinement of natural language reasoning. LELMA comprises three components: an LLM-Reasoner, an LLM-Translator, and a Solver, and employs autoformalization to translate reasoning into logic representations, which are then used to assess logical validity. Using game-theoretic scenarios such as the Prisoner's Dilemma as testbeds, we highlight the limitations of both less capable (Gemini 1.0 Pro) and advanced (GPT4o) models in generating logically sound reasoning. LELMA achieves high accuracy in error detection and improves reasoning correctness via self-refinement, particularly in GPT-4o. The study also highlights challenges in autoformalization accuracy and in evaluation of inherently ambiguous open-ended reasoning tasks. © 2025 IEEE.","Autoformalization; Large Language Models; Logical Validation; Natural Language Reasoning","Computational linguistics; Computer circuits; Formal logic; Game theory; Natural language processing systems; Autoformalization; Ground truth; Language model; Large language model; Logical errors; Logical validation; Model agents; Natural language reasoning; Natural languages; Reasoners; Agents","Biological and Artificial Intelligence Foundation (BAIF); Computer Society of the IEEE; Institute of Electrical and Electronic Engineers (IEEE)","37th IEEE International Conference on Tools with Artificial Intelligence, ICTAI 2025","3 November 2025 through 5 November 2025","Athens","218234","English","Conference paper","Final","","Scopus"
"Sabato Y.; Hazon N.; Azaria A.","Sabato, Yael (57220057235); Hazon, Noam (15725014100); Azaria, Amos (53979266300)","57220057235; 15725014100; 53979266300","Humans Predict the Nash Equilibrium as an Outcome of a Multi-Agent Public Goods Game","2025","Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","","","","1344","1349","10.1109/ICTAI66417.2025.00195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031893875&doi=10.1109%2FICTAI66417.2025.00195&partnerID=40&md5=c79083a6b7eb746287e390355ecfe5ba","Nash equilibrium is a well-established concept for predicting the outcome of a strategic game when the players are fully rational agents. While it is widely accepted that humans do not always behave as fully rational agents, our understanding of humans' prediction of the outcome of strategic games remains limited. This study attempts to bridge this gap by examining human subjects' prediction of the outcome of Public Goods in Networks (PGN) games. In this study, we explore participants' ability to predict PGN games' outcomes without prior knowledge of game theory or graph theory concepts. Therefore, we conduct a survey involving 96 participants, in which we request their predictions for PGN games' outcomes. Surprisingly, our findings indicate that participants, even in the absence of explicit knowledge regarding stability or equilibrium, tend to predict outcomes that align with a Nash equilibrium. This suggests that, in certain scenarios, the Nash equilibrium is in correspondence with human intuition and reasoning in strategic games. Finally, we examined two LLMs as 'participants', to test how often they propose outcomes that align with a Nash equilibrium. To much of our surprise, unlike humans, these models very rarely offered such predictions. © 2025 IEEE.","Large Language Models; Multi Agent Public Goods Games; Nash Equilibrium","Computation theory; Forecasting; Game theory; Graph theory; Human computer interaction; Intelligent agents; Nash equilibrium; In networks; Language model; Large language model; Multi agent; Multi agent public good game; Nash equilibria; Network game; Public goods; Public goods games; Strategic game; Multi agent systems","Biological and Artificial Intelligence Foundation (BAIF); Computer Society of the IEEE; Institute of Electrical and Electronic Engineers (IEEE)","37th IEEE International Conference on Tools with Artificial Intelligence, ICTAI 2025","3 November 2025 through 5 November 2025","Athens","218234","English","Conference paper","Final","","Scopus"
"Dai W.","Dai, Wanyang (56215529300)","56215529300","Stochastic Differential Games and a Unified Forward–Backward Coupled Stochastic Partial Differential Equation with Lévy Jumps","2024","Mathematics","12","18","2891","","","10.3390/math12182891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205074040&doi=10.3390%2Fmath12182891&partnerID=40&md5=cd497e7e9f165ebd80317f82ee470b87","We establish a relationship between stochastic differential games (SDGs) and a unified forward–backward coupled stochastic partial differential equation (SPDE) with discontinuous Lévy Jumps. The SDGs have q players and are driven by a general-dimensional vector Lévy process. By establishing a vector-form Ito-Ventzell formula and a 4-tuple vector-field solution to the unified SPDE, we obtain a Pareto optimal Nash equilibrium policy process or a saddle point policy process to the SDG in a non-zero-sum or zero-sum sense. The unified SPDE is in both a general-dimensional vector form and forward–backward coupling manner. The partial differential operators in its drift, diffusion, and jump coefficients are in time-variable and position parameters over a domain. Since the unified SPDE is of general nonlinearity and a general high order, we extend our recent study from the existing Brownian motion (BM)-driven backward case to a general Lévy-driven forward–backward coupled case. In doing so, we construct a new topological space to support the proof of the existence and uniqueness of an adapted solution of the unified SPDE, which is in a 4-tuple strong sense. The construction of the topological space is through constructing a set of topological spaces associated with a set of exponents (Formula presented.) under a set of general localized conditions, which is significantly different from the construction of the single exponent case. Furthermore, due to the coupling from the forward SPDE and the involvement of the discontinuous Lévy jumps, our study is also significantly different from the BM-driven backward case. The coupling between forward and backward SPDEs essentially corresponds to the interaction between noise encoding and noise decoding in the current hot diffusion transformer model for generative AI. © 2024 by the author.","diffusion transformer; discontinuous Lévy jump; forward and backward coupling; non-Gaussian noise; non-zero-sum game; stochastic differential game; stochastic partial differential equation; zero-sum game","","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Kuru E.; Dogru A.; Dogan M.; Aydogan R.","Kuru, Emre (59179695000); Dogru, Anll (60183675800); Dogan, Merve (60184322800); Aydogan, Reyhan (24463667000)","59179695000; 60183675800; 60184322800; 24463667000","Evaluating Theory-of-Mind in Large Language Models Through Opponent Modeling","2025","IVA 2025 - Proceedings of the 25th ACM International Conference on Intelligent Virtual Agents","","","23","","","10.1145/3717511.3747081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021312593&doi=10.1145%2F3717511.3747081&partnerID=40&md5=4f6575e3f7eba2e8ae31da7b0f37409d","Theory-of-Mind (ToM), the ability to infer the mental states, goals, and preferences of others - is a core component of human social intelligence. In this work, we investigate whether Large Language Models (LLMs) exhibit ToM capabilities in the context of strategic interaction. We frame opponent modeling in negotiation as a grounded and interpretable ToM task, where a model must infer an agent's preferences by observing offer exchanges during the negotiation. We guide LLMs to interpret offer histories and infer latent utility representations, including issue and value weights. We conduct a comprehensive evaluation of state-of-the-art LLMs across multiple negotiation domains. Our results show that LLMs can successfully recover opponents unknown preferences and in some cases even outperform classical opponent modeling baselines, even without task-specific training. These findings offer new evidence of LLMs' emerging capacity for social reasoning and position opponent modeling as a practical benchmark for evaluating Theory-of-Mind in foundation models. © 2025 Copyright held by the owner/author(s).","Large Language Models; Negotiation; Theory of Mind","Computational methods; Human computer interaction; Human engineering; Social aspects; Agent's preferences; Core components; Language model; Large language model; Mental state; Negotiation; Opponent models; Social intelligence; Strategic interactions; Theory of minds; Modeling languages","ACM SIGAI; AI Grid; Artificial Intelingence; BERLIN PARTNER; HTW Berlin","25th International Conference on Intelligent Virtual Agents, IVA 2025","16 September 2025 through 19 September 2025","Berlin","213615","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus"
"Calandriello D.; Guo Z.D.; Munos R.; Rowland M.; Tang Y.; Pires B.A.; Richemond P.H.; Le Lan C.; Valko M.; Liu T.; Joshi R.; Zheng Z.; Piot B.","Calandriello, Daniele (55737371500); Guo, Zhaohan Daniel (57193487290); Munos, Remi (6603222926); Rowland, Mark (57191058027); Tang, Yunhao (57218132694); Pires, Bernardo Avila (57219526063); Richemond, Pierre Harvey (57219457742); Le Lan, Charline (57218716272); Valko, Michal (25642222500); Liu, Tianqi (57206480708); Joshi, Rishabh (57205710866); Zheng, Zeyu (59831356100); Piot, Bilal (55697434100)","55737371500; 57193487290; 6603222926; 57191058027; 57218132694; 57219526063; 57219457742; 57218716272; 25642222500; 57206480708; 57205710866; 59831356100; 55697434100","Human Alignment of Large Language Models through Online Preference Optimisation","2024","Proceedings of Machine Learning Research","235","","","5409","5435","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203820046&partnerID=40&md5=d5a683d601851ce4f10a453f8261a3fe","Ensuring alignment of language models' outputs with human preferences is critical to guarantee a useful, safe, and pleasant user experience. Thus, human alignment has been extensively studied recently and several methods such as Reinforcement Learning from Human Feedback (RLHF), Direct Preference Optimisation (DPO) and Sequence Likelihood Calibration (SLiC) have emerged. In this paper, our contribution is two-fold. First, we show the equivalence between two recent alignment methods, namely Identity Preference Optimisation (IPO) and Nash Mirror Descent (Nash-MD). Second, we introduce a generalisation of IPO, named IPO-MD, that leverages the regularised sampling approach proposed by Nash-MD. This equivalence may seem surprising at first sight, since IPO is an offline method whereas Nash-MD is an online method using a preference model. However, this equivalence can be proven when we consider the online version of IPO, that is when both generations are sampled by the online policy and annotated by a trained preference model. Optimising the IPO loss with such a stream of data becomes then equivalent to finding the Nash equilibrium of the preference model through self-play. Building on this equivalence, we introduce the IPO-MD algorithm that generates data with a mixture policy (between the online and reference policy) similarly as the general Nash-MD algorithm. We compare online-IPO and IPO-MD to different online versions of existing losses on preference data such as DPO and SLiC on a summarisation task. Copyright 2024 by the author(s)","","Reinforcement learning; Alignment methods; Generalisation; Language model; Model outputs; Off-line methods; Online versions; Preference models; Preference optimizations; Reinforcement learnings; Users' experiences; Nash equilibrium","","41st International Conference on Machine Learning, ICML 2024","21 July 2024 through 27 July 2024","Vienna","201670","English","Conference paper","Final","","Scopus"
"Duque J.; Aghajohari M.; Cooijmans T.; Ciuca R.; Zhang T.; Gidel G.; Courville A.","Duque, Juan (58824183400); Aghajohari, Milad (57210825893); Cooijmans, Tim (56730948200); Ciuca, Razvan (60429435500); Zhang, Tianyu (57310307800); Gidel, Gauthier (57204799207); Courville, Aaron (6507291186)","58824183400; 57210825893; 56730948200; 60429435500; 57310307800; 57204799207; 6507291186","ADVANTAGE ALIGNMENT ALGORITHMS","2025","13th International Conference on Learning Representations, ICLR 2025","","","","71011","71036","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010214433&partnerID=40&md5=d3871b57a92367ef9b31421abeaf963e","Artificially intelligent agents are increasingly being integrated into human decision-making: from large language model (LLM) assistants to autonomous vehicles. These systems often optimize their individual objective, leading to conflicts, particularly in general-sum games where naive reinforcement learning agents empirically converge to Pareto-suboptimal Nash equilibria. To address this issue, opponent shaping has emerged as a paradigm for finding socially beneficial equilibria in general-sum games. In this work, we introduce Advantage Alignment, a family of algorithms derived from first principles that perform opponent shaping efficiently and intuitively. We achieve this by aligning the advantages of interacting agents, increasing the probability of mutually beneficial actions when their interaction has been positive. We prove that existing opponent shaping methods implicitly perform Advantage Alignment. Compared to these methods, Advantage Alignment simplifies the mathematical formulation of opponent shaping, reduces the computational burden and extends to continuous action domains. We demonstrate the effectiveness of our algorithms across a range of social dilemmas, achieving state-of-the-art cooperation and robustness against exploitation. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.","","","","13th International Conference on Learning Representations, ICLR 2025","24 April 2025 through 28 April 2025","Singapore","209472","English","Conference paper","Final","","Scopus"
"Chi Y.; Zhang Q.; Sun J.; Cai W.; Wang Z.J.; Leung V.C.M.","Chi, Yuanfang (56725016200); Zhang, Qiyue (59301935000); Sun, Jiaxiang (58976693400); Cai, Wei (35932040500); Wang, Z. Jane (11241026700); Leung, Victor C.M. (7102336029)","56725016200; 59301935000; 58976693400; 35932040500; 11241026700; 7102336029","Maximizing the Social Welfare of Decentralized Knowledge Inference Through Evolutionary Game","2024","IEEE INFOCOM 2024 - IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2024","","","","","","10.1109/INFOCOMWKSHPS61880.2024.10620663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003171502&doi=10.1109%2FINFOCOMWKSHPS61880.2024.10620663&partnerID=40&md5=87f8b5d3ebff6ab205a37f4555916c14","To broaden their domain knowledge coverage, large language models (LLMs) increasingly incorporate extensive cor-pus data from various industries. These heterogeneous datasets are often maintained by different stakeholders, where issues of data heterogeneity, privacy, and the network cost of data transmission have attracted much attention. To address these challenges, researchers have studied the integration of LLMs with knowledge graphs to manage data heterogeneity and with edge computing to ensure data privacy and transmission efficiency. In this work, we introduce a reputation system and a spot-check mechanism for a decentralized knowledge inference system in which edge nodes can collaborate with others for knowledge sharing while preserving their data privacy. We then use an evolutionary game model to study the dynamic decision-making between requestors and workers. Moreover, we show that higher reward values and higher model quality accelerate the maximization of social welfare. © 2024 IEEE.","decentralized computing; evolutionary game theory; reputation system","Decentralized systems; Data heterogeneity; Decentralised; Decentralized computing; Domain knowledge; Evolutionary game theory; Evolutionary games; Heterogeneous datasets; Language model; Reputation systems; Social welfare; Differential privacy","","2024 IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2024","20 May 2024 through 20 May 2024","Vancouver","201757","English","Conference paper","Final","","Scopus"
"Kulkarni A.N.; Liu A.; Gaglione J.-R.; Fried D.; Topcu U.","Kulkarni, Abhishek N. (57203656871); Liu, Andy (58822158700); Gaglione, Jean-Raphaël (57224850215); Fried, Daniel (55365376400); Topcu, Ufuk (23570155900)","57203656871; 58822158700; 57224850215; 55365376400; 23570155900","Dynamic Coalition Structure Detection in Natural Language-based Interactions","2025","Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","","","","1227","1234","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009840238&partnerID=40&md5=04d9d2a49fbd755d05db13dda47a5ce9","In strategic multi-agent sequential interactions, detecting dynamic coalition structures is crucial for understanding how self-interested agents coordinate to influence outcomes. However, natural-language-based interactions introduce unique challenges to coalition detection due to ambiguity over intents and difficulty in modeling players' subjective perspectives. We propose a new method that leverages recent advancements in large language models and game theory to predict dynamic multilateral coalition formation in Diplomacy, a strategic multi-agent game where agents negotiate coalitions using natural language. The method consists of two stages. The first stage extracts the set of agreements discussed by two agents in their private dialogue, by combining a parsing-based filtering function with a fine-tuned language model trained to predict player intents. In the second stage, we define a new metric using the concept of subjective rationalizability from hypergame theory to evaluate the expected value of an agreement for each player. We then compute this metric for each agreement identified in the first stage by assessing the strategic value of the agreement for both players and taking into account the subjective belief of one player that the second player would honor the agreement. We demonstrate that our method effectively detects potential coalition structures in online Diplomacy gameplay by assigning high values to agreements likely to be honored and low values to those likely to be violated. The proposed method provides foundational insights into coalition formation in multi-agent environments with language-based negotiation and offers key directions for future research on the analysis of complex natural language-based interactions between agents. © 2025 International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org).","Coalition Structures; Game Theory; Large Language Models; Multi-Agent Cooperation","Autonomous agents; Computational linguistics; Computational methods; Intelligent agents; Modeling languages; Multi agent systems; Natural language processing systems; Coalition formations; Coalition structure; Dynamic coalitions; Language model; Large language model; Multi agent; Multi agent cooperation; Natural languages; Sequential interactions; Structure detection; Game theory","Artificial Intelligence; Cooperative AI; DeepMind; et al.; Jane Street; Visit Detroit","24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025","19 May 2025 through 23 May 2025","Detroit","209812","English","Conference paper","Final","","Scopus"
"Haiura A.-I.; Irimia C.; Iftene A.","Haiura, Andreea-Isabela (60405973500); Irimia, Cosmin (57992569800); Iftene, Adrian (23397232600)","60405973500; 57992569800; 23397232600","Advancing Strategic Game AI with YOLO and Large Language Models","2025","19th International Conference on Innovations in Intelligent Systems and Applications, INISTA 2025 - Proceedings","","","","","","10.1109/INISTA68122.2025.11249581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030496016&doi=10.1109%2FINISTA68122.2025.11249581&partnerID=40&md5=5786007d8fb91602c2b7ea8bcb896e43","The development of intelligent agents for video games essentially requires access to an accurate representation of the game's internal state. In environments that provide dedicated APIs or where direct memory manipulation, this requirement can be relatively easily met. However, many games, especially the older ones, have built-in security mechanisms that restrict access to external modifications of memory. This limitation represents a significant obstacle for researchers and developers who wish to explore the interaction between artificial intelligence and such gaming environments. Simultaneously, the availability of large language models (LLMs), such as GPT (Generative pre-trained transformer), opens up new opportunities in the direction of high-level strategic reasoning. These models are capable of interpreting structured input and generating complex decisions like human reasoning. In this paper, we will focus on extracting the game state using the YOLO algorithm, both for detecting and classifying objects such as units, buildings, and types of resources, as well as for recognizing the numbers necessary for extracting resource values (food, wood, gold). Once this state is obtained, the goal will be on comparing several LLMs in generating strategies for the game, using two distinct approaches: zero-shot and few-shot. © 2025 IEEE.","AI; games; LLM; YOLO","Computational linguistics; Game theory; Human computer interaction; Intelligent agents; Interactive computer graphics; Game; Game AI; Internal state; Language model; Large language model; Memory manipulation; Security mechanism; Strategic game; Video-games; YOLO; Artificial intelligence","American University of Ras Al Khaimah; Huawei; IEEE UAE Section � Advancing Technology for Humanity; OpenCEMS Industrial Chair; Yildiz Technical University","19th International Conference on Innovations in Intelligent Systems and Applications, INISTA 2025","29 October 2025 through 31 October 2025","Ras Al Khaimah","217522","English","Conference paper","Final","","Scopus"
"Chen Y.; Feng S.; Yu F.-Y.","Chen, Yiling (57196267342); Feng, Shi (57226342355); Yu, Fang-Yi (57190853798)","57196267342; 57226342355; 57190853798","Carrot and Stick: Eliciting Comparison Data and Beyond","2024","Advances in Neural Information Processing Systems","37","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000560763&partnerID=40&md5=b255c2b0d8bde8443ed2e2107c2f6db0","Comparison data elicited from people are fundamental to many machine learning tasks, including reinforcement learning from human feedback for large language models and estimating ranking models. They are typically subjective and not directly verifiable. How to truthfully elicit such comparison data from rational individuals? We design peer prediction mechanisms for eliciting comparison data using a bonus-penalty payment [11]. Our design leverages on the strong stochastic transitivity for comparison data [60, 13] to create symmetrically strongly truthful mechanisms such that truth-telling 1) forms a strict Bayesian Nash equilibrium, and 2) yields the highest payment among all symmetric equilibria. Each individual only needs to evaluate one pair of items and report her comparison in our mechanism. We further extend the bonus-penalty payment concept to eliciting networked data, designing a symmetrically strongly truthful mechanism when agents' private signals are sampled according to the Ising models. We provide the necessary and sufficient conditions for our bonus-penalty payment to have truth-telling as a strict Bayesian Nash equilibrium. Experiments on two real-world datasets further support our theoretical discoveries. © 2024 Neural information processing systems foundation. All rights reserved.","","Bayesian networks; Computation theory; Ising model; Machine learning; Nash equilibrium; Bayesian Nash equilibria; Language model; Learning tasks; Machine-learning; Penalty payment; Prediction mechanisms; Ranking model; Reinforcement learnings; Truth-telling; Truthful mechanisms; Stochastic systems","","38th Conference on Neural Information Processing Systems, NeurIPS 2024","9 December 2024 through 15 December 2024","Vancouver","207061","English","Conference paper","Final","","Scopus"
"Mordo T.","Mordo, Tommy (59247062800)","59247062800","The Agent Perspective In LLM-Based Strategic Information Retrieval Ecosystems","2025","SIGIR 2025 - Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval","","","","4206","","10.1145/3726302.3730125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011822167&doi=10.1145%2F3726302.3730125&partnerID=40&md5=c3b42c7b0e2bd8293c09946119c1ff1d","The rise of generative AI and the emergence of Large Language Models (LLMs) have sparked a new line of research on the evolution of strategic information retrieval ecosystems. My research adopts an agent-based perspective to analyze sponsored search and competitive search ecosystems. The primary motivation of my work is to examine how agent strategies influence social welfare and the existence of equilibrium. To that end, I leverage frameworks from game theory and mechanism design. © 2025 Copyright held by the owner/author(s).","competitive search; LLM; sponsored search","Autonomous agents; Competition; Computation theory; Game theory; Human engineering; Information retrieval; Information systems; Information use; Knowledge management; Agent based; Competitive search; Language model; Large language model; Mechanism design; Model-based OPC; Social welfare; Sponsored searches; Theory designs; Ecosystems","ACM SIGIR","48th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2025","13 July 2025 through 18 July 2025","Padua","210356","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus"
"Xie Y.; Zhou Z.; Cao C.; Niu Q.; Liu T.; Han B.","Xie, Yi (59982981400); Zhou, Zhanke (57217855781); Cao, Chentao (57694600200); Niu, Qiyu (57950878600); Liu, Tongliang (56297951800); Han, Bo (57191281044)","59982981400; 57217855781; 57694600200; 57950878600; 56297951800; 57191281044","From Debate to Equilibrium: Belief-Driven Multi-Agent LLM Reasoning via Bayesian Nash Equilibrium","2025","Proceedings of Machine Learning Research","267","","","72277","72316","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023564168&partnerID=40&md5=6b912abb79204c15a2b87688ca94d499","Multi-agent frameworks can substantially boost the reasoning power of large language models (LLMs), but they typically incur heavy computational costs and lack convergence guarantees. To overcome these challenges, we recast multi-LLM coordination as an incomplete-information game and seek a Bayesian Nash equilibrium (BNE), in which each agent optimally responds to its probabilistic beliefs about the strategies of others. We introduce Efficient Coordination via Nash Equilibrium (ECON), a hierarchical reinforcementlearning paradigm that marries distributed reasoning with centralized final output. Under ECON, each LLM independently selects responses that maximize its expected reward, conditioned on its beliefs about co-agents, without requiring costly inter-agent exchanges. We mathematically prove that ECON attains a markedly tighter regret bound than non-equilibrium multi-agent schemes. Empirically, ECON outperforms existing multi-LLM approaches by 11.2% on average across six benchmarks spanning complex reasoning and planning tasks. Further experiments demonstrate ECON’s ability to flexibly incorporate additional models, confirming its scalability and paving the way toward larger, more powerful multi-LLM ensembles. The code is publicly available at: https://github.com/tmlr-group/ECON. © 2025 by the author(s).","","Bayesian networks; Computation theory; Intelligent agents; Nash equilibrium; Bayesian Nash equilibria; Computational costs; Incomplete information games; Language model; Model reasonings; Multi agent; Multiagent framework; Nash equilibria; Power; Probabilistic belief; Multi agent systems","","42nd International Conference on Machine Learning, ICML 2025","13 July 2025 through 19 July 2025","Vancouver","340759","English","Conference paper","Final","","Scopus"
"Pan X.; Wu W.; Chen L.; Li Z.; Lu P.; Cao P.; Wu Y.","Pan, Xiaohua (57704977300); Wu, Weifeng (59165517900); Chen, Lucheng (57212538608); Li, Zhen (57293021100); Lu, Peng (57188991051); Cao, Peijian (24758092300); Wu, Yangyang (59051708800)","57704977300; 59165517900; 57212538608; 57293021100; 57188991051; 24758092300; 59051708800","SEGAN: A Semi-Supervised Learning Method for Missing Data Imputation","2025","Service Oriented Computing and Applications","","","","","","10.1007/s11761-025-00472-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015617945&doi=10.1007%2Fs11761-025-00472-9&partnerID=40&md5=39ad6ce2630313911214431f543d19c1","The effective management of modern Digital Service Networks (DSNs) and the application of Large Language Models (LLMs) for their lifecycle automation are contingent upon the availability of complete, high-fidelity operational data. However, telemetry from complex infrastructures such as cloud services and IoT ecosystems is frequently plagued by missing values, which severely degrades the performance of downstream analysis and control tasks. While data imputation has been extensively studied, existing methods often fail to leverage sparse but critical supervisory signals, such as labeled states or anomaly flags, which are crucial in DSN contexts. To address this foundational challenge, in this paper, we propose a novel semi-supervised generative adversarial network model, named SEGAN, for missing value imputation. It consists of three modules: generator, discriminator, and classifier. In the SEGAN model, the classifier enables the generator to make full use of the known data and label information when predicting missing data values. In addition, the SEGAN model introduces a missing hint matrix to allow the discriminator to distinguish between the known data and data filled by the generator more effectively. This study theoretically proves that the SEGAN model, which introduces a classifier and a missing hint matrix, can learn the real known data distribution characteristics when reaching Nash equilibrium. Extensive experiments on three public real-world datasets demonstrated that, SEGAN yields an accuracy gain of more than 10%, compared with state-of-the-art approaches. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.","Data imputation; Digital service networks; Nash equilibrium; Semi-supervised learning","Information management; Labeled data; Learning algorithms; Learning systems; Nash equilibrium; Semi-supervised learning; Data imputation; Digital service network; Digital services; Effective management; matrix; Missing data imputations; Nash equilibria; Semi-supervised learning; Semi-supervised learning methods; Services network; Matrix algebra","","","","","","English","Article","Article in press","","Scopus"
"Lee J.; Eom S.; Kang J.-E.","Lee, JaeJun (58802310300); Eom, Soyoun (59377989500); Kang, Joo-Eun (59932121600)","58802310300; 59377989500; 59932121600","AI-GENERATED VIDEO IS THE NEXT LANGUAGE FOR GAME PROTOTYPING: FOCUSING ON OPEN AI'S SORA","2025","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2025, IHCI 2025; Game and Entertainment Technologies 2025, GET 2025; and Computer Graphics, Visualization, Computer Vision and Image Processing 2025, CGVCVIP 2025 - part of the Multi Conference on Computer Science and Information Systems 2025, MCCSIS 2025","","","","54","64","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022411995&partnerID=40&md5=1d24bb3a3fc2ffb2e7268cd4033cd4e7","Effective communication among diverse stakeholders is crucial in game development, particularly when creating games for specialized purposes such as therapy. In this paper, we present a case study of using AI-Generated video prototyping to facilitate communication between game designers and domain experts during the development of a therapeutic game based on Mindfulness-Based Cognitive Therapy (MBCT). Our research team employed a three-stage video prototyping pipeline using generative AI tools, such as OpenAI's ChatGPT and SORA, to create interactive video prototypes that effectively conveyed the game's design and intended player experience. Through interviews with domain experts, we evaluated the effectiveness of this approach in aligning the game design with MBCT theory, identifying differences in visual design direction, and promoting the expansion of game design ideas. Despite challenges in controlling specific aspects of the generated videos and the time-consuming nature of prompt engineering, we found that video prototyping served as an effective language for communicating game design ideas without loss of fidelity. This case study demonstrates the potential of AI-Generated video prototyping to enhance communication and collaboration between game designers and domain experts, particularly in the context of specialized game development projects. © 2025 IADIS Press All rights reserved.","Game Design Communication; Generative AI; Mindfulness-Based Cognitive Therapy (MBCT); SORA; Therapeutic Game; Video Prototyping","Artificial intelligence; Automation; Computer games; Game theory; Human computer interaction; Information use; Interactive computer graphics; Multimedia systems; Software design; Software prototyping; Cognitive therapy; Design communication; Domain experts; Game design; Game design communication; Generative AI; Mindfulness-based cognitive therapy; SORA; Therapeutic game; Video prototyping; Game design","","19th International Conferences on Interfaces and Human Computer Interaction, IHCI 2025; 18th International Conference on Game and Entertainment Technologies, GET 2025; 19th International on Computer Graphics, Visualization, Computer Vision and Image Processing, CGVCVIP 2025 - part of the 19th Multi Conference on Computer Science and Information Systems, MCCSIS 2025","23 July 2025 through 25 July 2025","Lisbon","214252","English","Conference paper","Final","","Scopus"
